Date,Ticker,Close,Allocation_%,Sector
2025-11-06,CPRT,39.97999954223633,7.66,Industrials
2025-11-06,DASH,196.4600067138672,7.66,Consumer Cyclical
2025-11-06,HD,369.07000732421875,7.66,Consumer Cyclical
2025-11-06,LYV,137.77000427246094,7.66,Communication Services
2025-11-06,SNPS,396.1400146484375,7.66,Technology
2025-11-06,TKO,181.0,7.66,Communication Services
2025-11-06,ADM,56.720001220703125,6.72,Consumer Defensive
2025-11-06,CLX,106.27999877929688,6.72,Consumer Defensive
2025-11-06,DG,95.94000244140625,6.72,Consumer Defensive
2025-11-06,KHC,23.719999313354492,6.72,Consumer Defensive
2025-11-06,SOLV,66.27999877929688,6.72,Healthcare
2025-11-06,UNH,321.55999755859375,6.72,Healthcare
2025-11-06,ZBH,88.51000213623047,6.72,Healthcare
2025-11-06,ZTS,119.55999755859375,6.72,Healthcare
2025-11-06,TPR,98.80999755859375,0.26,Consumer Cyclical
